the_geom,School_ID,Short_Name,Address,Grade_Cat,Lat,Long
POINT (-87.61739045569266 41.71043494922478),609800,BENNETT,10115 S PRAIRIE AVE,ES,41.71043495,-87.61739046
POINT (-87.66496784466541 41.950780518888934),609803,BLAINE,1420 W GRACE ST,ES,41.95078052,-87.66496784
POINT (-87.69746282204993 42.003411608113325),609804,MOSAIC,6710 N WASHTENAW AVE,ES,42.00341161,-87.69746282
POINT (-87.669365649609 41.749339161594726),609805,JOPLIN,7931 S HONORE ST,ES,41.74933916,-87.66936565
POINT (-87.55714197102563 41.7543651320386),609806,BRADWELL,7736 S BURNHAM AVE,ES,41.75436513,-87.55714197
POINT (-87.70873128447045 41.75345719344417),609807,HAMPTON,3434 W 77TH ST,ES,41.75345719,-87.70873128
POINT (-87.63363213618663 41.68665997028622),609808,HALEY,11411 S EGGLESTON AVE,ES,41.68665997,-87.63363214
POINT (-87.6962941983605 41.9309660966305),609809,BRENTANO,2723 N FAIRFIELD AVE,ES,41.9309661,-87.6962942
POINT (-87.79866892055921 41.94911438709591),609810,BRIDGE,3800 N NEW ENGLAND AVE,ES,41.94911439,-87.79866892
POINT (-87.56208422998444 41.69972622184482),609811,BRIGHT,10740 S CALHOUN AVE,ES,41.69972622,-87.56208423
POINT (-87.670682390474 41.882996784951416),609812,BROWN W,54 N HERMITAGE AVE,ES,41.88299678,-87.67068239
POINT (-87.62174596835749 41.77162035986941),609813,BROWNELL,6741 S MICHIGAN AVE,ES,41.77162036,-87.62174597
POINT (-87.57607485711404 41.760847480740246),609815,BOUCHET,7355 S JEFFERY BLVD,ES,41.76084748,-87.57607486
POINT (-87.69655603217366 41.97575433056882),609817,BUDLONG,2701 W FOSTER AVE,ES,41.97575433,-87.69655603
POINT (-87.78269957085668 41.91759813829286),609818,BURBANK,2035 N MOBILE AVE,ES,41.91759814,-87.78269957
POINT (-87.61614052358684 41.79675956452626),609819,BURKE,5356 S KING DR,ES,41.79675956,-87.61614052
POINT (-87.6698531241136 41.93793747440904),609820,BURLEY,1630 W BARRY AVE,ES,41.93793747,-87.66985312
POINT (-87.56713059135636 41.71440206254013),609821,BURNHAM,9928 S CRANDON AVE,ES,41.71440206,-87.56713059
POINT (-87.60743532128012 41.7284806386971),609827,BURNSIDE,650 E 91ST PL,ES,41.72848064,-87.60743532
POINT (-87.66866060376512 41.9123579080947),609828,BURR,1621 W WABANSIA AVE,ES,41.91235791,-87.6686606
POINT (-87.69245662922016 41.82886790732969),609829,BURROUGHS,3542 S WASHTENAW AVE,ES,41.82886791,-87.69245663
POINT (-87.76560565853231 41.89766257243393),609830,BRUNSON,932 N CENTRAL AVE,ES,41.89766257,-87.76560566
POINT (-87.79154448269146 41.79503096523667),609832,BYRNE,5329 S OAK PARK AVE,ES,41.79503097,-87.79154448
POINT (-87.58072902766371 41.73922635527386),609833,DAISY BATES,8546 S CREGIER AVE,ES,41.73922636,-87.58072903
POINT (-87.71731895268584 41.84369811838543),609834,LITTLE VILLAGE,2620 S LAWNDALE AVE,ES,41.84369812,-87.71731895
POINT (-87.71792663519541 41.90379211793748),609835,CAMERON,1234 N MONTICELLO AVE,ES,41.90379212,-87.71792664
POINT (-87.82929570100906 41.94800702810348),609836,CANTY,3740 N PANAMA AVE,ES,41.94800703,-87.8292957
POINT (-87.59079500924979 41.78336832349863),609837,CARNEGIE,1414 E 61ST PL,ES,41.78336832,-87.59079501
POINT (-87.69601207512635 41.74251662656278),609839,CARROLL,2929 W 83RD ST,ES,41.74251663,-87.69601208
POINT (-87.68779954321069 41.79327214417274),609842,CARSON,5516 S MAPLEWOOD AVE,ES,41.79327214,-87.68779954
POINT (-87.62245275190281 41.789827905260886),609844,CARTER,5740 S MICHIGAN AVE,ES,41.78982791,-87.62245275
POINT (-87.59951563219367 41.65370211623904),609845,CARVER G,901 E 133RD PL,ES,41.65370212,-87.59951563
POINT (-87.60647384690455 41.657404970395035),609848,ALDRIDGE,630 E 131ST ST,ES,41.65740497,-87.60647385
POINT (-87.70321548827788 41.687347055372065),609849,CASSELL,11314 S SPAULDING AVE,ES,41.68734706,-87.70321549
POINT (-87.68089678721267 41.693026006425264),609861,CLISSOLD,2350 W 110TH PL,ES,41.69302601,-87.68089679
POINT (-87.56596977181225 41.741412807207716),609862,COLES,8441 S YATES BLVD,ES,41.74141281,-87.56596977
POINT (-87.68193804931471 41.899565775672244),609863,COLUMBUS,1003 N LEAVITT ST,ES,41.89956578,-87.68193805
POINT (-87.65977458979329 41.745237022210155),609864,COOK,8150 S BISHOP ST,ES,41.74523702,-87.65977459
POINT (-87.67776251684455 42.01708759181053),609865,JORDAN,7414 N WOLCOTT AVE,ES,42.01708759,-87.67776252
POINT (-87.68376530075336 41.95555319552944),609866,COONLEY,4046 N LEAVITT ST,ES,41.9555532,-87.6837653
POINT (-87.66722708445164 41.856031192763744),609867,COOPER,1624 W 19TH ST,ES,41.85603119,-87.66722708
POINT (-87.65716920536804 41.784680861344654),609869,LANGFORD,6010 S THROOP ST,ES,41.78468086,-87.65716921
POINT (-87.73119286567506 41.84560242225936),609870,CORKERY,2510 S KILDARE AVE,ES,41.84560242,-87.73119287
POINT (-87.68567659787564 41.68819083819127),609871,VICK,2554 W 113TH ST,ES,41.68819084,-87.6856766
POINT (-87.65798012768776 41.8560287233007),609872,PEREZ,1241 W 19TH ST,ES,41.85602872,-87.65798013
POINT (-87.71247015060496 41.852663488490364),609873,CROWN,2128 S SAINT LOUIS AVE,ES,41.85266349,-87.71247015
POINT (-87.60466040817987 41.70755761761671),609978,SMITH,744 E 103RD ST,ES,41.70755762,-87.60466041
POINT (-87.64034074984373 41.83959485632815),609979,HEALY,3010 S PARNELL AVE,ES,41.83959486,-87.64034075
POINT (-87.7457260568626 41.80817500004484),609981,HEARST,4640 S LAMON AVE,ES,41.808175,-87.74572606
POINT (-87.81313152527642 41.94255167033053),609884,DEVER,3436 N OSCEOLA AVE,ES,41.94255167,-87.81313153
POINT (-87.64265157842041 41.79564568383266),609885,DEWEY,5415 S UNION AVE,ES,41.79564568,-87.64265158
POINT (-87.6099788745366 41.74366924214822),609887,DIXON,8306 S SAINT LAWRENCE AVE,ES,41.74366924,-87.60997887
POINT (-87.6122745429816 41.831120629145424),609891,DOOLITTLE,535 E 35TH ST,ES,41.83112063,-87.61227454
POINT (-87.79935927031792 41.77389881609562),609893,DORE,7134 W 65TH ST,ES,41.77389882,-87.79935927
POINT (-87.62855344657883 41.84404331290217),609894,DRAKE,2710 S DEARBORN ST,ES,41.84404331,-87.62855345
POINT (-87.63016447884762 41.72560921647962),609895,TURNER-DREW,9300 S PRINCETON AVE,ES,41.72560922,-87.63016448
POINT (-87.67449459892646 41.915913801918414),609896,DRUMMOND,1845 W CORTLAND ST,ES,41.9159138,-87.6744946
POINT (-87.67554666011665 41.78122517332755),609897,EARLE,2040 W 62ND ST,ES,41.78122517,-87.67554666
POINT (-87.70795263347404 41.77442045239029),609898,EBERHART,3400 W 65TH PL,ES,41.77442045,-87.70795263
POINT (-87.81116978484944 42.00440792197846),609899,EBINGER,7350 W PRATT AVE,ES,42.00440792,-87.81116978
POINT (-87.62165260757286 41.68541840046828),609900,CURTIS,32 E 115TH ST,ES,41.6854184,-87.62165261
POINT (-87.7618404744276 41.99943683361328),609901,EDGEBROOK,6525 N HIAWATHA AVE,ES,41.99943683,-87.76184047
POINT (-87.63430552124305 41.66944402318812),609902,METCALFE,12339 S NORMAL AVE,ES,41.66944402,-87.63430552
POINT (-87.72585617789449 41.80554153990772),609903,EDWARDS,4815 S KARLOV AVE,ES,41.80554154,-87.72585618
POINT (-87.76658937770817 41.8855295805767),609904,ELLINGTON,243 N PARKSIDE AVE,ES,41.88552958,-87.76658938
POINT (-87.71580443149537 41.87574412345218),609907,ERICSON,3600 W 5TH AVE,ES,41.87574412,-87.71580443
POINT (-87.66915866998323 41.68941960634023),609908,ESMOND,1865 W MONTVALE AVE,ES,41.68941961,-87.66915867
POINT (-87.68131030371634 41.831555161458105),609909,EVERETT,3419 S BELL AVE,ES,41.83155516,-87.6813103
POINT (-87.74933062513712 41.93578457379858),609910,FALCONER,3020 N LAMON AVE,ES,41.93578457,-87.74933063
POINT (-87.76607165818339 41.979790055723456),609912,FARNSWORTH,5414 N LINDER AVE,ES,41.97979006,-87.76607166
POINT (-87.64041364557237 41.711183623039645),609917,FERNWOOD,10041 S UNION AVE,ES,41.71118362,-87.64041365
POINT (-87.66998540066848 42.00966385552348),609918,FIELD,7019 N ASHLAND AVE,ES,42.00966386,-87.6699854
POINT (-87.60863289646439 41.78518281665416),609919,FISKE,6020 S LANGLEY AVE,ES,41.78518282,-87.6086329
POINT (-87.70511207709724 41.85077148441029),609920,KANOON,2233 S KEDZIE AVE,ES,41.85077148,-87.70511208
POINT (-87.69600587941659 41.847947432557646),609921,TELPOCHCALLI,2832 W 24TH BLVD,ES,41.84794743,-87.69600588
POINT (-87.75795257359303 41.92160395732739),609922,BELMONT-CRAGIN,6112 W. FULLERTON AVE,ES,41.92160396,-87.75795257
POINT (-87.65548116090038 41.729672674916365),609924,FORT DEARBORN,9025 S THROOP ST,ES,41.72967267,-87.65548116
POINT (-87.70216290437166 41.870167717963255),609925,KELLMAN,3030 W ARTHINGTON ST,ES,41.87016772,-87.7021629
POINT (-87.63551281030695 41.90659999028463),609926,FRANKLIN,225 W EVERGREEN AVE,ES,41.90659999,-87.63551281
POINT (-87.66809931233524 41.738425478030514),609927,FOSTER PARK,8530 S WOOD ST,ES,41.73842548,-87.66809931
POINT (-87.61178404264487 41.81800340373774),609928,FULLER,4214 S ST LAWRENCE AVE,ES,41.8180034,-87.61178404
POINT (-87.66843588179444 41.797580270819736),609929,FULTON,5300 S HERMITAGE AVE,ES,41.79758027,-87.66843588
POINT (-87.7168916647972 41.917616514559576),609930,FUNSTON,2010 N CENTRAL PARK AVE,ES,41.91761651,-87.71689166
POINT (-87.67193897620132 42.02109055801793),609933,GALE,1631 W JONQUIL TER,ES,42.02109056,-87.67193898
POINT (-87.53517530584453 41.70680099962663),609935,GALLISTEL,10347 S EWING AVE,ES,41.706801,-87.53517531
POINT (-87.79623511406561 41.97635166409545),609937,GARVY,5225 N OAK PARK AVE,ES,41.97635166,-87.79623511
POINT (-87.71869663581873 41.83706515201418),609938,GARY,3740 W 31ST ST,ES,41.83706515,-87.71869664
POINT (-87.62371943749258 41.725332279337024),609939,GILLESPIE,9301 S STATE ST,ES,41.72533228,-87.62371944
POINT (-87.67596551355214 41.76061412751702),609941,RANDOLPH,7316 S HOYNE AVE,ES,41.76061413,-87.67596551
POINT (-87.69289969582285 41.9228310074301),609942,GOETHE,2236 N ROCKWELL ST,ES,41.92283101,-87.6928997
POINT (-87.6225456606249 41.67061754028674),609943,OWENS,12302 S STATE ST,ES,41.67061754,-87.62254566
POINT (-87.55330671028274 41.66248099895759),609944,GRISSOM,12810 S ESCANABA AVE,ES,41.662481,-87.55330671
POINT (-87.65791249239345 41.97581653042204),609945,GOUDY,5120 N WINTHROP AVE,ES,41.97581653,-87.65791249
POINT (-87.6433442356135 41.813303729722655),609947,GRAHAM ES,4436 S UNION AVE,ES,41.81330373,-87.64334424
POINT (-87.7571155985857 41.94876357956856),609949,GRAY,3730 N LARAMIE AVE,ES,41.94876358,-87.7571156
POINT (-87.71719032015145 41.83879052013291),609950,ORTIZ DE DOMINGUEZ,3000 S LAWNDALE AVE,ES,41.83879052,-87.71719032
POINT (-87.59750293094838 41.811173462472446),609951,ARIEL,1119 E 46TH ST,ES,41.81117346,-87.59750293
POINT (-87.67149236961683 41.829669281400754),609952,GREENE,3525 S HONORE ST,ES,41.82966928,-87.67149237
POINT (-87.7186661290114 41.870742162718614),609954,GREGORY,3715 W POLK ST,ES,41.87074216,-87.71866613
POINT (-87.645025237443 41.73892015780208),609955,GRESHAM,8524 S GREEN ST,ES,41.73892016,-87.64502524
POINT (-87.75880329371445 41.77546426147621),609956,GRIMES,5450 W 64TH PL,ES,41.77546426,-87.75880329
POINT (-87.6993641851919 41.81300737026435),609958,GUNSAULUS,4420 S SACRAMENTO AVE,ES,41.81300737,-87.69936419
POINT (-87.63380633094783 41.849958316259276),609959,HAINES,247 W 23RD PL,ES,41.84995832,-87.63380633
POINT (-87.75581325275648 41.89917135566546),609975,HAY,1018 N LARAMIE AVE,ES,41.89917136,-87.75581325
POINT (-87.66850377465954 41.99454088653139),609976,HAYT,1518 W GRANVILLE AVE,ES,41.99454089,-87.66850377
POINT (-87.59439199559556 41.773365532331404),609977,WOODLAWN,6657 S KIMBARK AVE,ES,41.77336553,-87.594392
POINT (-87.75939838513513 41.893612211405035),610000,HOWE,720 N LOREL AVE,ES,41.89361221,-87.75939839
POINT (-87.56822810166979 41.733337752574805),610002,HOYNE,8905 S CRANDON AVE,ES,41.73333775,-87.5682281
POINT (-87.65363344706347 41.74245162733435),610003,CUFFE,8324 S RACINE AVE,ES,41.74245163,-87.65363345
POINT (-87.6112444584194 41.7003351416487),610004,CULLEN,10650 S EBERHART AVE,ES,41.70033514,-87.61124446
POINT (-87.73177738713366 41.86051773855266),610005,HUGHES C,4247 W 15TH ST,ES,41.86051774,-87.73177739
POINT (-87.71954083262504 41.7667852820048),610006,HURLEY,3849 W 69TH PL,ES,41.76678528,-87.71954083
POINT (-87.65336555308112 41.87125482472933),610009,GALILEO,820 S CARPENTER ST,ES,41.87125482,-87.65336555
POINT (-87.67580971870039 41.93924749728918),610010,JAHN,3149 N WOLCOTT AVE,ES,41.9392475,-87.67580972
POINT (-87.70052941983768 41.98464077674645),610011,JAMIESON,5650 N MOZART ST,ES,41.98464078,-87.70052942
POINT (-87.66220943342506 41.858848875940005),610013,PILSEN,1420 W 17TH ST,ES,41.85884888,-87.66220943
POINT (-87.652301594476 41.85806477719165),610015,JUNGMAN,1746 S MILLER ST,ES,41.85806478,-87.65230159
POINT (-87.6772325060255 41.725263440198454),610016,KELLOGG,9241 S LEAVITT ST,ES,41.72526344,-87.67723251
POINT (-87.69731553741039 41.84794071630535),610017,SAUCEDO,2850 W 24TH BLVD,ES,41.84794072,-87.69731554
POINT (-87.64089202543336 41.776452810672204),610019,KERSHAW,6450 S LOWE AVE,ES,41.77645281,-87.64089203
POINT (-87.71423364671361 41.90450276453822),610021,CASALS,3501 W POTOMAC AVE,ES,41.90450276,-87.71423365
POINT (-87.81205403976107 41.97850137694033),610105,ORIOLE PARK,5424 N OKETO AVE,ES,41.97850138,-87.81205404
POINT (-87.73126059627785 41.90013965620259),610106,PICCOLO,1040 N KEELER AVE,ES,41.90013966,-87.7312606
POINT (-87.6654262359055 41.891806082074325),610107,OTIS,525 N ARMOUR ST,ES,41.89180608,-87.66542624
POINT (-87.67486500006082 41.77457107364163),610108,OTOOLE,6550 S SEELEY AVE,ES,41.77457107,-87.674865
POINT (-87.7057490877654 41.742849922135825),610109,OWEN,8247 S CHRISTIANA AVE,ES,41.74284992,-87.70574909
POINT (-87.61977966040402 41.82735526681686),610110,WELLS ES,249 E 37TH ST,ES,41.82735527,-87.61977966
POINT (-87.7392129454413 41.973289393237266),610111,PALMER,5051 N KENNETH AVE,ES,41.97328939,-87.73921295
POINT (-87.63408585602906 41.77077979594969),610112,PARKER,6800 S STEWART AVE,ES,41.7707798,-87.63408586
POINT (-87.61154559300769 41.76647654327396),610115,PARK MANOR,7037 S RHODES AVE,ES,41.76647654,-87.61154559
POINT (-87.776578709076 41.78019173205768),609960,HALE,6140 S MELVINA AVE,ES,41.78019173,-87.77657871
POINT (-87.5518617188553 41.74375308333691),609961,NINOS HEROES,8344 S COMMERCIAL AVE,ES,41.74375308,-87.55186172
POINT (-87.67086537302534 41.945219655012096),609963,HAMILTON,1650 W CORNELIA AVE,ES,41.94521966,-87.67086537
POINT (-87.66117465983096 41.8072415580971),609964,HAMLINE,4747 S BISHOP ST,ES,41.80724156,-87.66117466
POINT (-87.69624330090753 41.85271913493636),609966,HAMMOND,2819 W 21ST PL,ES,41.85271913,-87.6962433
POINT (-87.68566784265742 41.849214905972595),609967,FINKL,2332 S WESTERN AVE,ES,41.84921491,-87.68566784
POINT (-87.72393113203223 41.91481634183787),609968,MCAULIFFE,1841 N SPRINGFIELD AVE,ES,41.91481634,-87.72393113
POINT (-87.5868545966883 41.793447243737454),609969,HARTE,1556 E 56TH ST,ES,41.79344724,-87.5868546
POINT (-87.6327368742143 41.75734054221767),609971,HARVARD,7525 S HARVARD,ES,41.75734054,-87.63273687
POINT (-87.72312803497186 41.964028709230114),609972,HAUGAN,4540 N HAMLIN AVE,ES,41.96402871,-87.72312803
POINT (-87.73431332380245 41.841393804183916),609973,ZAPATA,2728 S KOSTNER AVE,ES,41.8413938,-87.73431332
POINT (-87.65770887712425 41.94227548887215),609974,HAWTHORNE,3319 N CLIFTON AVE,ES,41.94227549,-87.65770888
POINT (-87.66822246663591 42.00364046332001),610022,KILMER,6700 N GREENVIEW AVE,ES,42.00364046,-87.66822247
POINT (-87.71601740733605 41.84848777069266),610024,CARDENAS,2345 S MILLARD AVE,ES,41.84848777,-87.71601741
POINT (-87.77948259997895 41.78996463453089),610026,KINZIE,5625 S MOBILE AVE,ES,41.78996463,-87.7794826
POINT (-87.63952072118772 41.723626906092285),610027,KIPLING,9351 S LOWE AVE,ES,41.72362691,-87.63952072
POINT (-87.66509327198196 41.90888612838145),610029,LOZANO,1501 N GREENVIEW AVE,ES,41.90888613,-87.66509327
POINT (-87.6024814478024 41.79800187835823),610030,KOZMINSKI,936 E 54TH ST,ES,41.79800188,-87.60248145
POINT (-87.6525001391931 41.719291947818064),610032,GREEN,1150 W 96TH ST,ES,41.71929195,-87.65250014
POINT (-87.63756486350428 41.91389953306324),610033,LASALLE,1734 N ORLEANS ST,ES,41.91389953,-87.63756486
POINT (-87.71295678679863 41.86296002483749),610034,LAWNDALE,3500 W DOUGLAS BLVD,ES,41.86296002,-87.71295679
POINT (-87.75454995057395 41.90682605025908),610036,LEWIS,1431 N LEAMINGTON AVE,ES,41.90682605,-87.75454995
POINT (-87.65993281794721 41.7976848325799),610037,LIBBY,5300 S LOOMIS BLVD,ES,41.79768483,-87.65993282
POINT (-87.64449730394374 41.92452481637319),610038,LINCOLN,615 W KEMPER PL,ES,41.92452482,-87.6444973
POINT (-87.70263467429581 41.940009280334706),610039,VON LINNE,3221 N SACRAMENTO AVE,ES,41.94000928,-87.70263467
POINT (-87.74851501350814 41.91881409631407),610040,LLOYD,2103 N LAMON AVE,ES,41.9188141,-87.74851501
POINT (-87.79560407108082 41.9317623546919),610041,LOCKE J,2828 N OAK PARK AVE,ES,41.93176235,-87.79560407
POINT (-87.78391884683755 41.91271802714923),610043,LOVETT,6333 W BLOOMINGDALE AVE,ES,41.91271803,-87.78391885
POINT (-87.71021700195341 41.9065195914638),610044,LOWELL,3320 W HIRSCH ST,ES,41.90651959,-87.710217
POINT (-87.77717419891071 41.934192162780626),610046,LYON,2941 N MCVICKER AVE,ES,41.93419216,-87.7771742
POINT (-87.59071239556958 41.759548060123095),610047,MADISON,7433 S DORCHESTER AVE,ES,41.75954806,-87.5907124
POINT (-87.63982651348373 41.90824688239234),610048,MANIERRE,1420 N HUDSON AVE,ES,41.90824688,-87.63982651
POINT (-87.7579205092804 41.92061097131673),610051,NORTHWEST,5252 W PALMER ST,ES,41.92061097,-87.75792051
POINT (-87.57481563732195 41.74827412767255),610052,MANN,8050 S CHAPPEL AVE,ES,41.74827413,-87.57481564
POINT (-87.69702979922423 41.773881080232854),610053,MARQUETTE,6550 S RICHMOND ST,ES,41.77388108,-87.6970298
POINT (-87.55248342628978 41.716588015005776),610054,MARSH,9822 S EXCHANGE AVE,ES,41.71658802,-87.55248343
POINT (-87.70809202043932 41.87971359144001),610055,FARADAY,3250 W MONROE ST,ES,41.87971359,-87.70809202
POINT (-87.73167243316915 41.85686370110197),610056,MASON,4217 W 18TH ST,ES,41.8568637,-87.73167243
POINT (-87.69211506377145 41.78090389857902),610057,FAIRFIELD,6201 S FAIRFIELD AVE,ES,41.7809039,-87.69211506
POINT (-87.65728743906128 41.92320352237662),610059,MAYER,2250 N CLIFTON AVE,ES,41.92320352,-87.65728744
POINT (-87.66098467184608 41.87429963866338),610060,CHICAGO WORLD LANGUAGE ACADEMY,1340 W HARRISON ST,ES,41.87429964,-87.66098467
POINT (-87.64110257531904 41.82999286351858),610062,MINOSO,3527 S WALLACE ST,ES,41.82999286,-87.64110258
POINT (-87.70630009266635 41.842267166062115),610063,MCCORMICK,2712 S SAWYER AVE,ES,41.84226717,-87.70630009
POINT (-87.60935721101174 41.77542384437959),610065,TILL,6543 S CHAMPLAIN AVE,ES,41.77542384,-87.60935721
POINT (-87.61921444365743 41.734549908376),610066,MCDADE,8801 S INDIANA AVE,ES,41.73454991,-87.61921444
POINT (-87.6917865020783 41.768142764638036),610067,MCKAY,6901 S FAIRFIELD AVE,ES,41.76814276,-87.6917865
POINT (-87.76151477060621 41.92395525810898),610068,HANSON PARK,5411 W FULLERTON AVE,ES,41.92395526,-87.76151477
POINT (-87.67628825214655 41.96784686777802),610070,MCPHERSON,4728 N WOLCOTT AVE,ES,41.96784687,-87.67628825
POINT (-87.6831845863575 41.892082166082574),610073,MITCHELL,2233 W OHIO ST,ES,41.89208217,-87.68318459
POINT (-87.71922375095443 41.92998860386076),610074,MONROE,3651 W SCHUBERT AVE,ES,41.9299886,-87.71922375
POINT (-87.69694138617116 41.91250548391014),610076,MOOS,1711 N CALIFORNIA AVE,ES,41.91250548,-87.69694139
POINT (-87.68854925524496 41.784313281565964),610077,MORRILL,6011 S ROCKWELL ST,ES,41.78431328,-87.68854926
POINT (-87.65157334214138 41.9490033009841),610078,INTER-AMERICAN,851 W WAVELAND AVE,ES,41.9490033,-87.65157334
POINT (-87.6413398057554 41.84440015891791),610081,SHERIDAN,533 W 27TH ST,ES,41.84440016,-87.64133981
POINT (-87.70580994472148 41.69573386233018),610082,MOUNT GREENWOOD,10841 S HOMAN AVE,ES,41.69573386,-87.70580994
POINT (-87.789630331566 41.970124883167344),610083,BEARD,6445 W STRONG ST,ES,41.97012488,-87.78963033
POINT (-87.69727833699838 41.69717033454182),610084,KELLER,3020 W 108TH ST,ES,41.69717033,-87.69727834
POINT (-87.64765248686278 41.70195211714933),610086,MOUNT VERNON,10540 S MORGAN ST,ES,41.70195212,-87.64765249
POINT (-87.7906044245619 41.77655627006337),610087,BLAIR,6751 W 63RD PL,ES,41.77655627,-87.79060442
POINT (-87.72188814466848 41.92090964989395),610088,MOZART,2200 N HAMLIN AVE,ES,41.92090965,-87.72188814
POINT (-87.71683185522133 41.950077753920596),610089,MURPHY,3539 W GRACE ST,ES,41.95007775,-87.71683186
POINT (-87.59334040532268 41.798535485157906),610090,MURRAY,5335 S KENWOOD AVE,ES,41.79853549,-87.59334041
POINT (-87.63895772518777 41.66487335006299),610091,BROWN R,12607 S UNION AVE,ES,41.66487335,-87.63895773
POINT (-87.74793587820315 41.89180975101735),610092,NASH,4837 W ERIE ST,ES,41.89180975,-87.74793588
POINT (-87.62093345510796 41.73840659515786),610093,NEIL,8555 S MICHIGAN AVE,ES,41.7384066,-87.62093346
POINT (-87.6445612223081 41.941636554888255),610094,NETTELHORST,3252 N BROADWAY ST,ES,41.94163655,-87.64456122
POINT (-87.64599025178916 41.913947217927735),610095,NEWBERRY,700 W WILLOW ST,ES,41.91394722,-87.64599025
POINT (-87.68913886416296 41.797714379405015),610096,NIGHTINGALE,5250 S ROCKWELL ST,ES,41.79771438,-87.68913886
POINT (-87.73142009080476 41.9195814529691),610097,NIXON,2121 N KEELER AVE,ES,41.91958145,-87.73142009
POINT (-87.72995463177072 41.90615515317017),610098,NOBEL,4127 W HIRSCH ST,ES,41.90615515,-87.72995463
POINT (-87.80297944028875 41.9881525067735),610099,NORWOOD PARK,5900 N NINA AVE,ES,41.98815251,-87.80297944
POINT (-87.73244309565025 41.906907205889276),610100,WEST PARK,1425 N TRIPP AVE,ES,41.90690721,-87.7324431
POINT (-87.64546949689037 41.75467006288496),610102,OGLESBY,7646 S GREEN ST,ES,41.75467006,-87.6454695
POINT (-87.57280595497336 41.768602312680876),610103,OKEEFFE,6940 S MERRILL AVE,ES,41.76860231,-87.57280595
POINT (-87.79310825534176 41.99379034980648),610104,ONAHAN,6634 W RAVEN ST,ES,41.99379035,-87.79310826
POINT (-87.58295438277366 41.7685551903038),610116,PARKSIDE,6938 S EAST END AVE,ES,41.76855519,-87.58295438
POINT (-87.73266645520341 41.786895377449056),610117,PASTEUR,5825 S KOSTNER AVE,ES,41.78689538,-87.73266646
POINT (-87.71921626106861 41.787898970714835),610120,PECK,3826 W 58TH ST,ES,41.78789897,-87.71921626
POINT (-87.68361565115083 41.871595492398946),610121,IRVING,749 S OAKLEY BLVD,ES,41.87159549,-87.68361565
POINT (-87.66585003699525 41.983455792336045),610122,PEIRCE,1423 W BRYN MAWR AVE,ES,41.98345579,-87.66585004
POINT (-87.72238554791981 41.85837242001234),610123,PENN,1616 S AVERS AVE,ES,41.85837242,-87.72238555
POINT (-87.59625661667707 41.728534142870835),610124,WASHINGTON H ES,9130 S UNIVERSITY AVE,ES,41.72853414,-87.59625662
POINT (-87.68074453481915 41.848100940025844),610125,RUIZ,2410 S LEAVITT ST,ES,41.84810094,-87.68074453
POINT (-87.61833765366819 41.83652695393685),610126,PERSHING,3200 S CALUMET AVE,ES,41.83652695,-87.61833765
POINT (-87.71258257766705 41.98155713878285),610127,PETERSON,5510 N CHRISTIANA AVE,ES,41.98155714,-87.71258258
POINT (-87.64757716519654 41.706602859847976),610128,GARVEY,10309 S MORGAN ST,ES,41.70660286,-87.64757717
POINT (-87.68329074267803 41.85290039518313),610129,PICKARD,2301 W 21ST PL,ES,41.8529004,-87.68329074
POINT (-87.60789113705158 41.7403402336656),610130,PIRIE,650 E 85TH ST,ES,41.74034023,-87.60789114
POINT (-87.6925257509659 41.86025889971301),610131,PLAMONDON,2642 W 15TH PL,ES,41.8602589,-87.69252575
POINT (-87.60641917339915 41.702630001600355),610132,POE,10538 S LANGLEY AVE,ES,41.70263,-87.60641917
POINT (-87.71879729303548 41.89323561092407),610133,WARD L,646 N LAWNDALE AVE,ES,41.89323561,-87.71879729
POINT (-87.76100700350283 41.95698763741477),610135,PORTAGE PARK,5330 W BERTEAU AVE,ES,41.95698764,-87.761007
POINT (-87.66952750426266 41.92884110079536),610136,PRESCOTT,1632 W WRIGHTWOOD AVE,ES,41.9288411,-87.6695275
POINT (-87.77241416628104 41.96561907168767),610137,PRUSSING,4650 N MENARD AVE,ES,41.96561907,-87.77241417
POINT (-87.6838014306395 41.9184862785674),610138,PULASKI,2230 W MCLEAN AVE,ES,41.91848628,-87.68380143
POINT (-87.60943096742838 41.68881935296992),610139,PULLMAN,11311 S FORRESTVILLE AVE,ES,41.68881935,-87.60943097
POINT (-87.67092241918907 41.96074569259484),610141,RAVENSWOOD,4332 N PAULINA ST,ES,41.96074569,-87.67092242
POINT (-87.59475207201355 41.79234788098066),610142,RAY,5631 S KIMBARK AVE,ES,41.79234788,-87.59475207
POINT (-87.60492543043772 41.804173791770864),610143,REAVIS,834 E 50TH ST,ES,41.80417379,-87.60492543
POINT (-87.71954054421468 41.94109399066818),610144,REILLY,3650 W SCHOOL ST,ES,41.94109399,-87.71954054
POINT (-87.76898261875851 41.943018896022565),610145,REINBERG,3425 N MAJOR AVE,ES,41.9430189,-87.76898262
POINT (-87.60017682327386 41.76419586510751),610146,REVERE,1010 E 72ND ST,ES,41.76419587,-87.60017682
POINT (-87.69718539374 42.015265046408814),610147,ROGERS,7345 N WASHTENAW AVE,ES,42.01526505,-87.69718539
POINT (-87.66603693424403 41.80714283144807),610148,CHAVEZ,4747 S MARSHFIELD AVE,ES,41.80714283,-87.66603693
